62 3 4
0 1 2
1 1
2 0 1
3 1 2
0 0
1 4 1 1
2 1 1 1
3 3 1 1
4 2 1 1
5 1 1 1
6 2 1 1
7 3 2 1
8 1 2 1
9 4 1 1
10 2 1 1
11 2 1 1
12 1 1 1
13 3 1 1
14 1 2 1
15 2 2 1
16 3 2 1
17 1 1 1
18 2 1 1
19 3 1 1
20 2 0 1
21 2 1 1
22 3 1 1
23 4 1 1
24 2 1 1
25 2 2 1
26 4 2 1
27 3 1 1
28 4 1 1
29 4 1 1
30 5 2 1
31 3 1 1
32 3 1 1
33 4 2 1
34 2 2 1
35 2 1 1
36 2 1 1
37 1 2 1
38 3 1 1
39 2 1 1
40 2 1 1
41 4 2 1
42 2 1 1
43 3 2 1
44 2 0 1
45 3 2 1
46 3 1 1
47 4 2 1
48 3 1 1
49 4 2 1
50 2 1 1
51 2 1 1
52 1 2 1
53 4 1 1
54 2 1 1
55 3 1 1
56 2 1 1
57 3 1 1
58 2 1 1
59 2 1 1
60 1 0 1
61 0
0 1 2 3
1 10 17 31
2 5 6 13
3 4 15 35
4 7 8 21
5 12 37 52
6 24 27 46
7 9 11 18
8 16 27 47
9 19 32 37
10 40 44
11 13 14 27
12 20 28 56
13 25 31 33
14 16 29 60
15 16 20 26
16 19 28 55
17 18 22 23
18 34 49
19 25
20 41 46 51
21 32 48
22 26 42 45
23 32 34 49
24 29 30 38
25 30 45
26 41 43 50
27 28 29
28 39
29 42 45 48
30 39 56
31 36 38 44
32 43 52
33 41 49 52
34 36 38 39
35 37 53
36 43 50 59
37 40 59
38 40 48
39 42 51
40 50
41 44
42 54
43 46
44 47 53 58
45 54
46 47 57
47 60
48 51 55
49 58 59
50 55
51 54
52 53
53 60
54 57
55 56
56 57
57 58
58 61
59 61
60 61
61
