62 8 4
0 0 2 3 4 6 7
1 0 1 2 3 4 5
2 1 2 3 4 5 7
3 2 3 4 5 6 7
0 0
1 2 7 1
2 4 4 1
3 5 6 1
4 1 7 1
5 3 3 1
6 1 4 1
7 3 2 1
8 3 3 1
9 3 5 1
10 1 2 1
11 4 7 1
12 3 4 1
13 5 7 1
14 2 7 1
15 2 1 1
16 4 5 1
17 3 0 1
18 3 7 1
19 2 2 2
20 1 4 1
21 4 6 1
22 2 3 1
23 6 5 1
24 2 1 1
25 3 1 1
26 3 7 1
27 1 1 1
28 3 4 1
29 2 5 1
30 3 7 1
31 2 5 1
32 2 5 1
33 3 4 1
34 1 0 1
35 1 4 2
36 3 5 1
37 2 3 1
38 2 3 2
39 2 0 1
40 2 5 1
41 3 4 1
42 4 4 1
43 3 2 1
44 3 6 1
45 1 3 1
46 2 3 1
47 2 2 1
48 2 7 2
49 4 2 1
50 4 3 1
51 2 4 1
52 1 5 1
53 1 5 2
54 3 1 1
55 3 0 1
56 1 3 1
57 3 1 1
58 2 0 1
59 1 2 2
60 2 7 1
61 0
0 1 2 3
1 5 12 19
2 4 6 18
3 18 31 50
4 13 21 35
5 7 17 52
6 8 21 22
7 15 16 37
8 9 14 16
9 10 11 30
10 19 29
11 15 24 31
12 16 20 29
13 23 26 41
14 20 32 36
15 36 44
16 27 54
17 25
18 20 27 38
19 42 48
20 24 30 55
21 28 42 53
22 33 38 42
23 27 52 60
24 33 37 39
25 30 31 33
26 46 48 55
27 58
28 32 38 49
29 32 53
30 45
31 37 40 45
32 34
33 57
34 39 50
35 36 44 47
36 39 40
37 41 43
38 40
39 41 45 59
40 43 46
41 56
42 43 44 49
43 58
44 54 59
45 46 48
46 51 56
47 49 50 52
48 51
49 55
50 51
51 54 57
52 53 59
53 58
54 60
55 56
56 57
57 60
58 61
59 61
60 61
61
