31 8 10
0 1 3 4 5 6 7
1 0 2 4 5 6 7
2 0 1 3 4 5 6
3 0 2 3 5 6
4 1 2 4 5 6
5 1 2 4 5 7
6 0 1 2 3 6
7 3 5 6 7
8 1 4 5 7
9 2 3 4 5
0 0 0 1 1 1 2 1 5 1 7 1
1 2 1 1 3 1 4 2 5 1
2 3 0 2 1 1 4 1 5 1
3 4 0 1 1 2 4 1 5 1
4 3 0 1 5 1 6 3
5 3 0 1 1 1 2 1 4 1
6 2 0 2 2 1 6 1
7 2 1 1 4 1 5 1 7 1
8 3 0 2 4 1 6 1
9 4 1 2 2 1 4 1
10 3 0 2 6 1
11 2 0 1 4 1 6 1
12 4 0 1 2 1 3 1
13 2 1 1 4 1 6 1
14 2 0 3
15 1 2 1 3 1 4 2 7 1
16 3 0 2 1 1 6 1 7 1
17 2 0 3 2 1 4 1
18 2 0 3 3 1 6 1
19 2 1 1 2 1 3 1 4 1 7 1
20 2 0 2 1 2
21 2 0 1 3 2 4 1
22 2 0 2 5 1 7 1
23 3 1 1 2 1 3 1 4 1
24 3 0 3 4 1
25 1 3 1 4 1 6 1 7 1
26 3 0 1 1 1 3 1
27 3 1 1 4 2
28 3 0 3
29 4 1 1 4 1 5 1
30 0 0 1 2 1 4 1
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
1 5 20
2 4
3 30
4 10
5 30
6 30
7 24
8 17
9 14
10 30
11 15
12 19
13 17
14 18
15 30
16 27
17 30
18 30
19 20
20 30
21 30
22 30
23 30
24 30
25 30
26 30
27 30
28 30
29 30
30
