92 3 4
0 1 2
1 1
2 1 2
3 0 1 2
0 0
1 4 2 1
2 3 1 1
3 2 1 1
4 1 2 1
5 1 1 1
6 1 1 1
7 4 1 1
8 3 1 1
9 2 1 1
10 2 0 1
11 1 2 1
12 2 2 1
13 2 1 1
14 2 1 1
15 1 1 1
16 1 1 1
17 1 1 1
18 1 2 1
19 1 2 1
20 2 2 1
21 3 1 1
22 3 2 1
23 2 1 1
24 2 2 1
25 1 0 1
26 2 2 1
27 3 1 1
28 3 1 1
29 2 2 1
30 1 2 1
31 4 1 1
32 1 1 1
33 2 0 1
34 3 2 1
35 2 1 1
36 1 2 1
37 1 1 1
38 1 1 1
39 4 2 1
40 1 2 1
41 3 2 1
42 2 2 1
43 1 1 1
44 3 2 1
45 2 1 1
46 4 2 1
47 2 2 1
48 1 2 1
49 1 1 1
50 2 2 1
51 1 1 1
52 5 1 1
53 5 1 1
54 2 0 1
55 4 1 1
56 1 1 1
57 1 2 1
58 2 1 1
59 2 2 1
60 4 2 1
61 3 1 1
62 3 2 1
63 3 0 1
64 1 0 1
65 1 1 1
66 1 0 1
67 1 2 1
68 1 2 1
69 3 1 1
70 3 1 1
71 2 1 1
72 2 1 1
73 1 1 1
74 3 2 1
75 2 1 1
76 3 2 1
77 2 2 1
78 1 1 1
79 1 2 1
80 1 1 1
81 2 2 1
82 3 1 1
83 1 0 1
84 1 2 1
85 2 2 1
86 3 1 1
87 2 1 1
88 3 1 1
89 2 1 1
90 2 2 1
91 0
0 1 2 3
1 11 44
2 4 6 12
3 5 7 50
4 10 50 69
5 8 15 18
6 13 14 16
7 23 27 56
8 9 21 32
9 20 64 65
10 19 33
11 19 30 31
12 22 40 52
13 57 62 83
14 26 52
15 17 24 44
16 29 55 67
17 35 54
18 84
19 34 36 89
20 22
21 37 38 43
22 75
23 25 32 60
24 25 28 32
25 40
26 35 39
27 62
28 59 80
29 41 73
30 63
31 34 46
32 42 43 59
33 85
34 45
35 47 71 76
36 49 79
37 70
38 46 48 65
39 59 63 81
40 76
41 56 57 81
42 68
43 55 70
44 51 80
45 53 66
46 89
47 49 62
48 61 70
49 83
50 60
51 61 87
52 55 61 72
53 74
54 60 88
55 77
56 69 72
57 58 76
58 77 85
59 82
60 73
61 71
62 67 79
63 72 78
64 68 73 78
65 71
66 87
67 75
68 79
69 74
70 75 90
71 74 77
72 82
73 89
74 78
75 81
76 80 84
77 90
78 83
79 90
80 82
81 86 87
82 85
83 84
84 86
85 86
86 88
87 88
88 91
89 91
90 91
91
