62 3 5
0 1 2
1 1 2
2 1 2
3 0 1 2
4 2
0 0
1 4 0 1
2 2 2 1
3 2 2 1
4 3 1 1
5 2 2 1
6 2 0 1
7 5 0 1
8 1 2 1
9 5 2 1
10 2 2 1
11 1 2 1
12 3 1 1
13 2 2 1
14 4 2 1
15 2 2 1
16 2 1 1
17 3 1 1
18 4 1 1
19 2 1 1
20 3 2 1
21 2 2 1
22 3 1 1
23 1 2 1
24 2 2 1
25 3 1 1
26 1 1 1
27 1 1 1
28 1 0 1
29 3 1 1
30 2 1 1
31 1 2 1
32 2 2 1
33 1 2 1
34 3 1 1
35 2 0 1
36 4 1 1
37 2 2 1
38 4 0 1
39 2 1 1
40 3 2 1
41 5 1 1
42 5 2 1
43 3 2 1
44 3 0 1
45 2 0 1
46 2 2 1
47 1 1 1
48 5 1 1
49 3 2 1
50 2 2 1
51 1 2 1
52 2 2 1
53 1 2 1
54 2 1 1
55 2 1 1
56 2 1 1
57 2 1 1
58 2 2 1
59 2 1 1
60 3 1 1
61 0
0 1 2 3
1 5 7 10
2 36 40 42
3 4 8 22
4 28 31 58
5 6 9 17
6 12 23 56
7 11 23
8 13 18
9 15 24 27
10 12 30 31
11 18 51 52
12 14 20 41
13 16 21 25
14 25 29 32
15 19 37 49
16 32 38 49
17 20 21
18 28 31 33
19 29 38 50
20 35 48 53
21 59
22 27 30 33
23 33 35 37
24 26 29 48
25 35 36 46
26 28 30 47
27 36 39 47
28 43 46
29 45 57
30 32 38 58
31 34 40 53
32 37 43
33 44
34 41
35 39
36 48 60
37 39 40 46
38 45 51 56
39 42 51
40 44 50
41 42 43 57
42 54
43 44
44 45
45 54
46 53
47 50 52
48 58
49 52 55
50 55
51 54 55
52 56
53 59
54 60
55 57
56 60
57 59
58 61
59 61
60 61
61
