32 3 4
0 2
1 1 2
2 0 1 2
3 1 2
0 0
1 5 1 1
2 2 2 1
3 1 2 1
4 2 1 1
5 1 1 1
6 1 1 1
7 2 1 1
8 2 1 1
9 4 2 1
10 5 2 1
11 4 1 1
12 2 2 1
13 3 0 1
14 2 2 1
15 4 2 1
16 4 2 1
17 1 1 1
18 3 2 1
19 2 1 1
20 2 1 1
21 4 2 1
22 3 1 1
23 3 2 1
24 2 0 1
25 3 2 1
26 5 1 1
27 1 1 1
28 3 2 1
29 2 2 1
30 5 2 1
31 0
0 1 2 3
1 4 11 14
2 12 13
3 5 7 19
4 9 22
5 6 8 15
6 9 17 26
7 17
8 10 16 18
9 21 23 25
10 17
11 13 18 28
12 20 24 28
13 22
14 15 21 26
15 18 25
16 23 25 30
17 23 28
18 24
19 24 30
20 22
21 30
22 29
23 27
24 29
25 27
26 27
27 29
28 31
29 31
30 31
31
