92 3 4
0
1 1 2
2 1 2
3 0 1
0 0
1 1 1 1
2 2 1 1
3 2
4 3 2 1
5 2 1 1
6 1 1 1
7 3 0 1
8 1 2 1
9 3 0 1
10 1
11 3 0 1
12 1 2 1
13 2
14 2 2 1
15 1
16 2
17 2 0 1
18 2 2 1
19 5 1 1
20 3
21 3 2 1
22 1 1 1
23 1 1 1
24 3 1 1
25 1
26 3 1 1
27 1 2 1
28 2 1 1
29 3 1 1
30 2 2 1
31 2 1 1
32 1 2 1
33 2
34 1 1 1
35 2
36 2
37 3 1 1
38 1 2 1
39 3
40 1 1 1
41 2 2 1
42 3 2 1
43 2
44 2 2 1
45 1 2 1
46 4 0 1
47 2
48 1 2 1
49 2
50 2
51 1
52 4
53 3 0 1
54 1 2 1
55 1
56 2
57 1
58 2 1 1
59 1 0 1
60 1 1 1
61 2 1 1
62 5 1 1
63 1 1 1
64 1 0 1
65 2
66 1 2 1
67 2 2 1
68 2 1 1
69 3 0 1
70 1 2 1
71 3 1 1
72 1 2 1
73 2 2 1
74 2 1 1
75 4 1 1
76 3 1 1
77 4
78 2 0 1
79 4 2 1
80 4 1 1
81 1 1 1
82 2
83 3 1 1
84 4 0 1
85 2 1 1
86 1 1 1
87 3
88 2 1 1
89 1 1 1
90 1
91 0
0 1 2 3
1 4 27 28
2 7 9 11
3 5 6 10
4 8 29 47
5 17 42
6 23 40 42
7 16 77 82
8 84
9 15 25 57
10 12 14 63
11 13 75
12 19 22 23
13 18 36
14 43 55 76
15 31 62
16 24 81
17 20 52 67
18 30 34 43
19 21 31 39
20 26 62
21 49
22 72
23 54 56 58
24 37 59
25 44 50 61
26 35
27 63 66 68
28 33 46 65
29 38 58
30 60 66
31 32 45 78
32 43
33 34
34 54 71
35 48
36 78 82
37 42
38 86
39 69
40 41 55
41 51 52
42 58
43 73
44 48 80
45 53 64 90
46 51 52 61
47 51 72 73
48 53 71
49 69
50 63 71
51 68 89
52 59 75
53 59 60
54 68
55 67
56 65 73
57 85
58 60
59 83
60 69 85
61 62 64 72
62 82
63 64 86 89
64 85
65 70 77
66 74
67 88
68 70 80
69 84
70 90
71 76
72 75 79
73 89
74 79
75 76 81 90
76 77 78
77 83
78 83
79 80
80 81
81 84
82 88
83 86
84 87
85 87
86 87
87 88
88 91
89 91
90 91
91
