62 3 4
0 0 1 2
1 1 2
2 1
3 2
0 0
1 2 1 1
2 3 2 1
3 3 1 1
4 1 1 1
5 1 1 1
6 2 2 1
7 4 2 1
8 2 2 1
9 1 0 1
10 3 2 1
11 1 1 1
12 1 2 1
13 2 2 1
14 1 1 1
15 1 1 1
16 3 1 1
17 2 1 1
18 2 2 1
19 2 0 1
20 2 1 1
21 3 2 1
22 3 2 1
23 1 1 1
24 2 2 1
25 1 1 1
26 3 1 1
27 3 2 1
28 4 1 1
29 2 1 1
30 2 2 1
31 3 1 1
32 2 2 1
33 1 1 1
34 3 1 1
35 1 2 1
36 5 1 1
37 1 2 1
38 2 1 1
39 1 1 1
40 2 0 1
41 3 2 1
42 1 2 1
43 2 2 1
44 2 2 1
45 1 1 1
46 3 1 1
47 2 1 1
48 2 1 1
49 1 2 1
50 1 1 1
51 1 1 1
52 2 1 1
53 2 2 1
54 2 1 1
55 1 1 1
56 1 1 1
57 1 2 1
58 1 2 1
59 1 2 1
60 4 2 1
61 0
0 1 2 3
1 11 19 58
2 8 9 31
3 4 5 6
4 15 18 28
5 13 18 33
6 7 12 17
7 10
8 27 43 48
9 14 25 26
10 20 29 41
11 30
12 14 23 40
13 16 54 56
14 19 32 36
15 21 26 38
16 24 35 36
17 18 22 23
18 26 36 54
19 33 37
20 24 27 46
21 24 41 47
22 30 39 48
23 27
24 40 42 52
25 34 45 47
26 30 43 51
27 33 39 53
28 34 39 47
29 31 35 53
30 32 34
31 32 49
32 46 60
33 42 57
34 44 46
35 37 44
36 38 44 59
37 38 42 43
38 57
39 45 50
40 58
41 45 48
42 55
43 52 55
44 50
45 49 51
46 55
47 49 53
48 50 51
49 54
50 52
51 56
52 57
53 56 58
54 60
55 59
56 59
57 60
58 61
59 61
60 61
61
