31 8 10
0 2 5 7
1 2 4 5 6
2 4 6 7
3 0 1 2 6
4 0 1 6
5 3 5 6 7
6 4 7
7 1 2 6 7
8 0 1
9 0 3 5 6
0 0 0 1 1 1 2 1 7 1
1 4 0 1 1 1 3 1 4 2
2 3 1 1 4 2 7 1
3 3 0 4 4 1
4 4 0 2 1 1 5 1
5 4 0 1 1 1 3 1 4 1 6 1
6 4 1 1 3 1 6 1
7 2 0 1 1 1 7 3
8 2 0 3
9 2 0 1 1 1 3 1 5 2
10 3 0 1 2 2
11 2 0 2 1 1 4 1 6 1
12 2 0 3
13 4 0 1 1 1 2 1 6 1
14 1 0 1 1 1 2 1
15 2 0 2 1 1 5 1
16 3 0 2 1 1
17 2 0 1 1 2 7 1
18 4 1 2 3 1
19 1 0 1 1 2 4 1
20 4 0 1 1 2 4 1 7 1
21 2 0 2 1 2
22 4 1 2 3 1 4 1 5 1
23 3 0 1 1 2 3 1
24 3 0 1 1 2 2 1 6 1
25 2 0 2 1 1 2 1
26 2 1 2 3 1 4 1 5 1
27 2 1 2 3 1
28 3 0 1 1 2 4 1 5 1
29 1 0 2 5 1
30 0 0 1 1 1 4 1 5 1 6 1
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
1 30
2 4 5 19
3 23
4 30
5 11 18
6 30
7 30
8 30
9 19
10 15 28
11 30
12 16
13 30
14 30
15 30
16 30
17 30
18 30
19 21
20 30
21 30
22 30
23 30
24 30
25 30
26 30
27 30
28 30
29 30
30
