32 3 5
0 1 2
1 0 1 2
2 1 2
3 1 2
4 1
0 0
1 5 1 1
2 2 2 1
3 1 0 1
4 2 2 1
5 1 1 1
6 2 1 1
7 3 2 1
8 2 2 1
9 3 1 1
10 2 1 1
11 1 1 1
12 2 1 1
13 2 1 1
14 2 1 1
15 4 1 1
16 3 2 1
17 2 1 1
18 2 0 1
19 4 1 1
20 1 2 1
21 4 2 1
22 2 1 1
23 3 1 1
24 1 1 1
25 2 1 1
26 3 1 1
27 1 1 1
28 4 1 1
29 4 1 1
30 1 0 1
31 0
0 1 2 3
1 7 23 27
2 5 12 14
3 4 6 7
4 8 12 13
5 15 18 21
6 9 10 11
7 12 17 25
8 15 17 27
9 14 21
10 16 21
11 16 17 24
12 15 30
13 19 24 26
14 16 18 22
15 20
16 19 23 30
17 20 22 30
18 19 20 23
19 27
20 26
21 22 24 26
22 28 29
23 25 28
24 25
25 29
26 29
27 28
28 31
29 31
30 31
31
