32 3 4
0 2
1 1 2
2 1 2
3 0 1 2
0 0
1 5 2 1
2 2 2 1
3 2 2 1
4 3 2 1
5 2 1 1
6 3 2 1
7 2 0 1
8 3 2 1
9 1 2 1
10 2 0 1
11 4 1 1
12 4 2 1
13 2 1 1
14 4 2 1
15 5 2 1
16 2 2 1
17 3 0 1
18 3 2 1
19 3 0 1
20 2 2 1
21 5 2 1
22 3 2 1
23 3 2 1
24 1 2 1
25 2 2 1
26 3 2 1
27 1 1 1
28 2 2 1
29 6 2 1
30 3 2 1
31 0
0 1 2 3
1 20 25 26
2 4 8 9
3 5 11 12
4 6 7 10
5 14 17 18
6 16
7 11 12 13
8 29
9 22 23 27
10 21 28
11 20
12 14 15
13 16 19 24
14 22
15 17 20
16 22
17 23 26 29
18 19 27
19 21
20 23 28
21 25 29
22 30
23 30
24 25 26
25 30
26 27
27 28
28 31
29 31
30 31
31
