92 3 4
0 0 1 2
1 1 2
2 1 2
3 1 2
0 0
1 3 2 1
2 7 1 1
3 1 2 1
4 1 2 1
5 3 1 1
6 1 2 1
7 2 1 1
8 1 2 1
9 5 2 1
10 1 2 1
11 2 1 1
12 3 2 1
13 3 1 1
14 5 1 1
15 5 0 1
16 2 2 1
17 3 1 1
18 2 1 1
19 2 0 1
20 3 1 1
21 2 1 1
22 2 2 1
23 2 1 1
24 4 1 1
25 1 2 1
26 2 2 1
27 1 1 1
28 3 2 1
29 3 0 1
30 3 2 1
31 2 1 1
32 1 1 1
33 2 1 1
34 1 2 1
35 1 1 1
36 4 1 1
37 2 2 1
38 2 2 1
39 1 1 1
40 5 2 1
41 4 1 1
42 2 1 1
43 3 1 1
44 1 1 1
45 2 1 1
46 2 2 1
47 1 1 1
48 2 2 1
49 2 2 1
50 5 2 1
51 3 1 1
52 2 1 1
53 1 1 1
54 4 2 1
55 3 2 1
56 2 2 1
57 1 1 1
58 1 1 1
59 2 2 1
60 1 1 1
61 3 2 1
62 1 2 1
63 2 1 1
64 1 1 1
65 1 2 1
66 2 2 1
67 2 2 1
68 3 2 1
69 2 2 1
70 1 2 1
71 1 1 1
72 3 1 1
73 4 2 1
74 4 1 1
75 2 1 1
76 1 0 1
77 1 1 1
78 1 2 1
79 4 1 1
80 2 2 1
81 3 2 1
82 4 2 1
83 1 2 1
84 2 2 1
85 2 1 1
86 1 1 1
87 2 1 1
88 1 1 1
89 2 1 1
90 1 2 1
91 0
0 1 2 3
1 12 16 40
2 8 9 17
3 4 6 25
4 5 7 13
5 23 27 28
6 30 59
7 10 11 14
8 38 50
9 19 53 67
10 21 36 51
11 27 57 74
12 33 72
13 35 46
14 15
15 18 74
16 87
17 20 24 26
18 22 42 78
19 39 64
20 80
21 80
22 55
23 47 54
24 62
25 70
26 32 56 82
27 31
28 29 58 65
29 41 81
30 86
31 34 51
32 39
33 37 79
34 45 76
35 68
36 64 73
37 60
38 43 86
39 85
40 56
41 63 76
42 49
43 44
44 63 87
45 48 52
46 83
47 52
48 62
49 61
50 52
51 62
52 53
53 65
54 70
55 61
56 85
57 72
58 88
59 79
60 71
61 64
62 77
63 73 75
64 84
65 66 85
66 75
67 81
68 69
69 71 86
70 77
71 81
72 90
73 78
74 75
75 89
76 88
77 78
78 79
79 84
80 82
81 89
82 88
83 84
84 89
85 87
86 90
87 90
88 91
89 91
90 91
91
