32 3 4
0 1
1 1 2
2 0 1 2
3 1 2
0 0
1 2 1 1
2 1 1 1
3 1 1 1
4 1 2 1
5 5 1 1
6 3 1 1
7 3 1 1
8 2 1 1
9 4 2 1
10 2 0 1
11 3 2 1
12 1 2 1
13 3 1 1
14 4 1 1
15 3 0 1
16 2 1 1
17 3 1 1
18 3 1 1
19 2 1 1
20 2 2 1
21 3 1 1
22 2 1 1
23 1 2 1
24 1 1 1
25 1 1 1
26 3 1 1
27 1 1 1
28 1 2 1
29 4 2 1
30 2 2 1
31 0
0 1 2 3
1 4 10 11
2 4 6 21
3 7 9 15
4 5 8 16
5 13 23
6 14 18 20
7 12 13 14
8 17 19 26
9 14 18 24
10 15 16 19
11 12 17 22
12 18 19 21
13 17 29
14 16 25
15 20 21 22
16 27
17 30
18 28
19 20
20 24 30
21 23 26
22 23 24 26
23 25 30
24 25 27
25 28 29
26 27 28
27 29
28 31
29 31
30 31
31
