92 3 4
0 1 2
1 0 1 2
2 1 2
3 1 2
0 0
1 5 1 1
2 2 2 1
3 2 2 1
4 3 1 1
5 4 0 1
6 3 1 1
7 3 2 1
8 3 1 1
9 1 2 1
10 5 1 1
11 3 1 1
12 4 2 1
13 3 1 1
14 2 1 1
15 1 2 1
16 2 2 1
17 3 1 1
18 4 1 1
19 1 1 1
20 3 2 1
21 3 1 1
22 2 2 1
23 1 1 1
24 3 2 1
25 3 1 1
26 2 2 1
27 1 0 1
28 4 2 1
29 1 0 1
30 2 2 1
31 3 2 1
32 3 2 1
33 4 2 1
34 3 2 1
35 1 1 1
36 5 2 1
37 4 2 1
38 1 2 1
39 1 1 1
40 3 1 1
41 2 2 1
42 1 2 1
43 3 2 1
44 3 1 1
45 4 2 1
46 3 2 1
47 5 1 1
48 2 2 1
49 2 2 1
50 1 2 1
51 4 1 1
52 2 0 1
53 5 2 1
54 3 2 1
55 2 2 1
56 2 0 1
57 3 2 1
58 3 1 1
59 1 2 1
60 2 1 1
61 2 2 1
62 1 2 1
63 3 2 1
64 4 1 1
65 4 2 1
66 4 2 1
67 5 1 1
68 2 2 1
69 4 2 1
70 1 2 1
71 2 0 1
72 5 1 1
73 1 1 1
74 1 0 1
75 3 2 1
76 3 2 1
77 6 2 1
78 2 1 1
79 4 1 1
80 6 1 1
81 2 1 1
82 2 2 1
83 2 2 1
84 1 2 1
85 3 1 1
86 8 2 1
87 3 1 1
88 1 2 1
89 3 1 1
90 7 1 1
91 0
0 1 2 3
1 4 16 18
2 6 53 59
3 86
4 5 7 28
5 13 22 86
6 8 10 11
7 24
8 9 15 28
9 14 17 32
10 23 40 55
11 12 20 43
12 46 60 78
13 21 25 35
14 16 49 85
15 30 39 44
16 19 26 31
17 42 78
18 57
19 27 46
20 34 81
21 41 48 63
22 29 59
23 29 37 38
24 33 34 52
25 45 51 75
26 50 60 64
27 74 80
28 54 64 81
29 77
30 68
31 62
32 42
33 36 55 66
34 56 62 75
35 41 68
36 69
37 41 71 89
38 47 62 76
39 48
40 77
41 57
42 52 88
43 61
44 47 55 64
45 58 90
46 81
47 51 65
48 56 76
49 73
50 69
51 54 67
52 69
53 58
54 71
55 72 75 83
56 57 67
57 61
58 68
59 70
60 80
61 87
62 70
63 66 82
64 66 79
65 72 73
66 84
67 72 74
68 71
69 80 83
70 74
71 82
72 85
73 78 83 84
74 77
75 76 85
76 79 84
77 79
78 82
79 88
80 86
81 87
82 87
83 89
84 89
85 90
86 90
87 88
88 91
89 91
90 91
91
